group,trial,projection_seed,label,text,from_checkpoint,to_checkpoint,route_stability,node_jaccard,edge_jaccard,node_retention,edge_retention,added_nodes,removed_nodes,added_edges,removed_edges,added_node_persistence,added_edge_persistence,current_nodes,current_edges
異なる射影,3,20263831,無関係文,犬は公園を走っている,10,20,0.94347826,1.0,0.91304348,1.0,0.95454545,0,0,1,1,0.0,1.0,31,22
異なる射影,3,20263831,学習文,今日は晴れて気持ちいい,20,50,0.96498843,0.96875,0.96296296,1.0,1.0,1,0,1,0,0.0,0.0,32,27
異なる射影,3,20263831,類似文,今日の天気は最高だ,20,50,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,20
異なる射影,3,20263831,無関係文,犬は公園を走っている,20,50,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,22
異なる射影,4,20264840,学習文,今日は晴れて気持ちいい,0,1,0.9147619,0.93333333,0.9047619,1.0,1.0,2,0,2,0,1.0,1.0,30,21
異なる射影,4,20264840,類似文,今日の天気は最高だ,0,1,0.95951705,0.96875,0.95454545,1.0,1.0,1,0,1,0,1.0,1.0,32,22
異なる射影,4,20264840,無関係文,犬は公園を走っている,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,21
異なる射影,4,20264840,学習文,今日は晴れて気持ちいい,1,5,0.92160326,0.9375,0.91304348,1.0,1.0,2,0,2,0,1.0,1.0,32,23
異なる射影,4,20264840,類似文,今日の天気は最高だ,1,5,0.86111111,0.88888889,0.84615385,1.0,1.0,4,0,4,0,1.0,1.0,36,26
異なる射影,4,20264840,無関係文,犬は公園を走っている,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,21
異なる射影,4,20264840,学習文,今日は晴れて気持ちいい,5,10,0.96231061,0.96969697,0.95833333,1.0,1.0,1,0,1,0,1.0,1.0,33,24
異なる射影,4,20264840,類似文,今日の天気は最高だ,5,10,0.96527778,0.97222222,0.96153846,0.97222222,0.96153846,0,1,0,1,0.0,0.0,35,25
異なる射影,4,20264840,無関係文,犬は公園を走っている,5,10,0.95951705,0.96875,0.95454545,1.0,1.0,1,0,1,0,1.0,1.0,32,22
異なる射影,4,20264840,学習文,今日は晴れて気持ちいい,10,20,0.82394737,0.86842105,0.8,1.0,1.0,5,0,6,0,1.0,1.0,38,30
異なる射影,4,20264840,類似文,今日の天気は最高だ,10,20,0.96527778,0.97222222,0.96153846,1.0,1.0,1,0,1,0,1.0,1.0,36,26
異なる射影,4,20264840,無関係文,犬は公園を走っている,10,20,0.88786765,0.91176471,0.875,0.96875,0.95454545,2,1,2,1,1.0,1.0,33,23
異なる射影,4,20264840,学習文,今日は晴れて気持ちいい,20,50,0.91529933,0.92682927,0.90909091,1.0,1.0,3,0,3,0,0.0,0.0,41,33
異なる射影,4,20264840,類似文,今日の天気は最高だ,20,50,0.828125,0.85714286,0.8125,1.0,1.0,6,0,6,0,0.0,0.0,42,32
異なる射影,4,20264840,無関係文,犬は公園を走っている,20,50,0.928,0.94285714,0.92,1.0,1.0,2,0,2,0,0.0,0.0,35,25
