group,trial,cluster_id,semantic_name,edge_a,edge_b,usage_pattern
固定射影,2,1,晴れ中心クラスタ,349,545,1110001010
固定射影,2,1,晴れ中心クラスタ,461,509,1011001010
固定射影,2,2,曖昧・橋渡しクラスタ,4,429,0000000010
固定射影,2,2,曖昧・橋渡しクラスタ,4,554,0000000010
固定射影,2,2,曖昧・橋渡しクラスタ,22,66,1001010010
固定射影,2,2,曖昧・橋渡しクラスタ,36,349,0000001010
固定射影,2,2,曖昧・橋渡しクラスタ,45,58,0000000010
固定射影,2,2,曖昧・橋渡しクラスタ,45,312,1000000010
固定射影,2,2,曖昧・橋渡しクラスタ,66,216,1001010010
固定射影,2,2,曖昧・橋渡しクラスタ,126,372,1100000010
固定射影,2,2,曖昧・橋渡しクラスタ,142,196,0000000010
固定射影,2,2,曖昧・橋渡しクラスタ,144,148,1001010010
固定射影,2,2,曖昧・橋渡しクラスタ,144,355,1001010010
固定射影,2,2,曖昧・橋渡しクラスタ,161,446,0000000010
固定射影,2,2,曖昧・橋渡しクラスタ,168,312,1000000010
固定射影,2,2,曖昧・橋渡しクラスタ,168,525,0000000010
固定射影,2,2,曖昧・橋渡しクラスタ,169,393,0000001010
固定射影,2,2,曖昧・橋渡しクラスタ,196,197,0000000010
固定射影,2,2,曖昧・橋渡しクラスタ,216,514,1001000010
固定射影,2,2,曖昧・橋渡しクラスタ,372,561,1100000010
固定射影,2,3,雨中心クラスタ,31,291,0001010100
固定射影,2,3,雨中心クラスタ,46,365,0101110100
固定射影,2,3,雨中心クラスタ,61,540,0001100100
固定射影,2,3,雨中心クラスタ,83,177,0001010000
固定射影,2,3,雨中心クラスタ,83,269,0001010000
固定射影,2,3,雨中心クラスタ,131,305,0101110100
固定射影,2,3,雨中心クラスタ,131,343,0101110100
固定射影,2,3,雨中心クラスタ,139,174,0001000100
固定射影,2,3,雨中心クラスタ,139,257,0001000100
固定射影,2,3,雨中心クラスタ,140,473,0001010100
固定射影,2,3,雨中心クラスタ,140,506,0001010100
固定射影,2,3,雨中心クラスタ,163,254,0100110100
固定射影,2,3,雨中心クラスタ,177,269,0001010000
固定射影,2,3,雨中心クラスタ,254,343,0101110100
固定射影,2,3,雨中心クラスタ,257,541,0001100100
固定射影,2,3,雨中心クラスタ,291,473,0001010100
固定射影,2,3,雨中心クラスタ,292,506,0001010100
固定射影,2,3,雨中心クラスタ,292,515,0001010100
固定射影,2,3,雨中心クラスタ,305,365,0101110100
固定射影,2,3,雨中心クラスタ,407,486,0000010100
固定射影,2,3,雨中心クラスタ,444,486,0000010100
固定射影,2,3,雨中心クラスタ,540,541,0001100100
固定射影,2,4,雨中心クラスタ,24,205,0001100000
固定射影,2,4,雨中心クラスタ,24,243,0000100000
固定射影,2,4,雨中心クラスタ,43,357,0000100000
固定射影,2,4,雨中心クラスタ,61,313,0000100000
固定射影,2,4,雨中心クラスタ,136,489,0000100000
固定射影,2,4,雨中心クラスタ,172,304,0010100100
固定射影,2,4,雨中心クラスタ,172,382,0010100100
