group,trial,cluster_id,semantic_name,edge_count,loss,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
異なる射影,2,0,混合・補助クラスタ,53,138.9069811320755,0.0,0.24528301886792453,0.0,0.1509433962264151,0.2830188679245283,0.05660377358490566,0.0,0.22641509433962265,0.07547169811320754,0.32075471698113206
異なる射影,2,1,混合・補助クラスタ,24,138.9069811320755,0.0,0.08333333333333333,1.0,0.0,0.25,0.041666666666666664,0.16666666666666666,0.25,0.041666666666666664,0.0
異なる射影,2,2,混合・補助クラスタ,24,138.9069811320755,0.8333333333333334,0.0,0.08333333333333333,0.2916666666666667,0.0,0.4583333333333333,0.6666666666666666,0.25,0.08333333333333333,0.0
異なる射影,2,3,曖昧・橋渡しクラスタ,25,138.9069811320755,0.0,0.36,0.72,0.32,0.84,1.0,0.72,0.88,0.56,0.0
異なる射影,2,4,曖昧・橋渡しクラスタ,12,138.9069811320755,1.0,0.8333333333333334,0.0,0.75,0.0,0.5,0.0,0.0,1.0,0.0
異なる射影,3,0,混合・補助クラスタ,67,142.90566069670547,0.0,0.0,0.0,0.23880597014925373,0.16417910447761194,0.16417910447761194,0.16417910447761194,0.22388059701492538,0.16417910447761194,0.19402985074626866
異なる射影,3,1,混合・補助クラスタ,13,142.90566069670547,1.0,0.0,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.0,0.3076923076923077,0.0,0.0,0.15384615384615385
異なる射影,3,2,晴れ中心クラスタ,37,142.90566069670547,0.0,0.32432432432432434,1.0,0.08108108108108109,0.4864864864864865,0.0,0.4864864864864865,0.0,0.13513513513513514,0.08108108108108109
異なる射影,3,3,混合・補助クラスタ,26,142.90566069670547,0.15384615384615385,1.0,0.038461538461538464,0.0,0.0,0.34615384615384615,0.0,0.34615384615384615,0.07692307692307693,0.038461538461538464
異なる射影,3,4,雨中心クラスタ,11,142.90566069670547,1.0,0.0,0.0,0.45454545454545453,0.5454545454545454,1.0,0.0,0.8181818181818182,1.0,0.0
異なる射影,4,0,雨中心クラスタ,46,144.15661708619376,0.0,0.08695652173913043,0.0,0.32608695652173914,0.15217391304347827,0.5434782608695652,0.043478260869565216,0.2826086956521739,0.5652173913043478,0.043478260869565216
異なる射影,4,1,混合・補助クラスタ,24,144.15661708619376,0.0,0.125,1.0,0.16666666666666666,0.20833333333333334,0.041666666666666664,0.08333333333333333,0.125,0.0,0.0
