group,trial,function_type,present,edge_count,centroid_similarity,signature_similarity,role_match,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,drop_0,drop_1,drop_2,drop_3
異なる射影,2,雨中心クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,3,雨中心クラスタ,1,22,0.9167453476509576,0.9876680326295899,1.0,0.4090909090909091,0.4090909090909091,0.0,0.13636363636363635,0.2727272727272727,1.0,0.0,1.0,0.4090909090909091,0.09090909090909091,0.028030303030303072,0.5733333333333334,0.26172413793103444,0.09255898366606163
異なる射影,4,雨中心クラスタ,1,46,0.8239865460386694,0.8135238756186149,0.0,0.0,0.08695652173913043,0.0,0.32608695652173914,0.15217391304347827,0.5434782608695652,0.043478260869565216,0.2826086956521739,0.5652173913043478,0.043478260869565216,0.05904605263157903,0.3253586800573889,0.7590169992609017,0.10239651416122009
異なる射影,5,雨中心クラスタ,1,21,0.8595669041162644,0.9502231346909186,1.0,0.47619047619047616,0.0,0.14285714285714285,0.23809523809523808,0.42857142857142855,1.0,0.0,0.23809523809523808,0.09523809523809523,0.0,0.0,0.12138888888888888,0.045845997973657515,0.0
異なる射影,6,雨中心クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,7,雨中心クラスタ,1,7,0.9194423426380417,0.9320550540188008,1.0,0.42857142857142855,0.0,1.0,0.42857142857142855,1.0,0.7142857142857143,0.0,1.0,0.42857142857142855,0.0,0.0,0.25287356321839083,0.07199335548172758,0.0
異なる射影,8,雨中心クラスタ,1,26,0.8836389546116757,0.8640227853358059,1.0,0.2692307692307692,0.0,0.15384615384615385,0.4230769230769231,0.3076923076923077,0.38461538461538464,0.038461538461538464,1.0,0.0,0.07692307692307693,0.01666666666666672,0.6621254355400698,0.0,0.1868872549019609
異なる射影,1,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,2,曖昧・橋渡しクラスタ,1,37,0.9660464975132942,0.9790383514514893,1.0,0.5,0.5966666666666667,0.36,0.535,0.42,0.75,0.36,0.44,0.78,0.0,0.422025171624714,0.4804765886287625,0.6871212121212121,0.0
異なる射影,3,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,4,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,5,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,6,曖昧・橋渡しクラスタ,1,38,0.9675835352691603,0.9991556288424127,1.0,0.6055555555555556,0.1388888888888889,0.1111111111111111,0.3333333333333333,0.4138888888888889,0.5972222222222222,0.5,0.4444444444444444,0.8722222222222222,0.0,0.4204521276595744,0.3763888888888889,0.8187669376693767,0.0
異なる射影,7,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,8,曖昧・橋渡しクラスタ,1,22,0.8927638939333385,0.9300586855417504,1.0,0.045454545454545456,0.22727272727272727,0.13636363636363635,0.4090909090909091,0.045454545454545456,0.22727272727272727,0.36363636363636365,0.0,1.0,0.0,0.19696969696969702,0.0,0.6,0.0
異なる射影,1,混合・補助クラスタ,1,97,0.8871212104874054,0.9660703945764362,1.0,0.12878787878787878,0.5,0.23313782991202345,0.06818181818181818,0.04838709677419355,0.12121212121212122,0.09090909090909091,0.1639784946236559,0.06060606060606061,0.08333333333333333,0.38857142857142857,0.357913855734302,0.20047846889952148,0.485906862745098
異なる射影,2,混合・補助クラスタ,1,101,0.8795579210007342,0.988427124674556,1.0,0.2777777777777778,0.10953878406708595,0.3611111111111111,0.14753668763102726,0.17767295597484276,0.18553459119496854,0.27777777777777773,0.2421383647798742,0.06682389937106918,0.10691823899371068,0.4790617848970251,0.48854515050167224,0.3643939393939394,0.8384615384615385
異なる射影,3,混合・補助クラスタ,1,109,0.8577702682622718,0.956628720216576,1.0,0.19012493354598617,0.3333333333333333,0.1448032961190856,0.3333333333333333,0.09217171717171717,0.06313131313131314,0.07575757575757576,0.0909090909090909,0.14493620414673047,0.0707070707070707,0.4037878787878788,0.3041666666666667,0.4662068965517241,0.67005444646098
異なる射影,4,混合・補助クラスタ,1,83,0.8769643655469224,0.968293460928408,1.0,0.3333333333333333,0.18333333333333335,0.3684210526315789,0.12573099415204678,0.19444444444444445,0.0489766081871345,0.06944444444444443,0.09429824561403509,0.024999999999999998,0.14342105263157895,0.19745065789473681,0.15738880918220954,0.08470066518847008,0.7161220043572984
異なる射影,5,混合・補助クラスタ,1,68,0.8719208565182528,0.9961894309591457,1.0,0.046511627906976744,0.48139534883720936,0.09302325581395349,0.11627906976744186,0.36,0.1,0.13813953488372094,0.2111627906976744,0.2297674418604651,0.26744186046511625,0.371298593879239,0.4080555555555556,0.2836879432624113,0.7765151515151515
異なる射影,6,混合・補助クラスタ,1,86,0.8844396752530007,0.9525777402262581,1.0,0.0,0.2511475409836066,0.5,0.16393442622950818,0.12295081967213115,0.10655737704918032,0.10459016393442623,0.22295081967213115,0.01639344262295082,0.2665573770491803,0.15843085106382981,0.4963383838383839,0.053184281842818426,0.8672413793103448
異なる射影,7,混合・補助クラスタ,1,101,0.6444313483032901,0.9920605320100049,1.0,0.006329113924050633,0.08227848101265822,0.060701956271576527,0.0949367088607595,0.18210586881472957,0.5,0.06329113924050633,0.056962025316455694,0.04430379746835443,0.08227848101265822,0.24415393654524098,0.38719211822660093,0.18697674418604648,0.703125
異なる射影,8,混合・補助クラスタ,1,75,0.8412837591612773,0.9036608139779332,1.0,0.1813893653516295,0.29288164665523153,0.145368782161235,0.06432246998284734,0.12264150943396226,0.2439965694682676,0.12264150943396226,0.0,0.0,0.5,0.43598484848484853,0.0,0.0,0.8764705882352941
