group,trial,projection_seed,condition,probe_label,probe_text,cut_edge_count,route_retention,sunny_affinity,rainy_affinity,affinity_margin,node_count,edge_count
異なる射影,2,20262822,ランダム同数,曖昧天気,今日は天気が変わりやすい,10,0.92424242,0.23339889,0.24735036,-0.01395147,40,30
異なる射影,2,20262822,ランダム同数,無関係,会計ソフトが請求書を処理する,10,1.0,0.00786869,0.0158183,-0.00794961,26,17
異なる射影,3,20263831,無処置,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.17591794,0.08991354,0.0860044,41,32
異なる射影,3,20263831,無処置,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.10070874,0.25285387,-0.15214513,40,33
異なる射影,3,20263831,無処置,曖昧天気,今日は天気が変わりやすい,0,1.0,0.11293899,0.18506385,-0.07212486,35,29
異なる射影,3,20263831,無処置,無関係,会計ソフトが請求書を処理する,0,1.0,0.04111208,0.05773181,-0.01661974,29,19
異なる射影,3,20263831,天気幹線切断,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.17591794,0.08991354,0.0860044,41,32
異なる射影,3,20263831,天気幹線切断,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.10070874,0.25285387,-0.15214513,40,33
異なる射影,3,20263831,天気幹線切断,曖昧天気,今日は天気が変わりやすい,0,1.0,0.11293899,0.18506385,-0.07212486,35,29
異なる射影,3,20263831,天気幹線切断,無関係,会計ソフトが請求書を処理する,0,1.0,0.04111208,0.05773181,-0.01661974,29,19
異なる射影,3,20263831,晴れ枝切断,晴れ未経験,よく晴れた穏やかな日だ,11,0.91345274,0.14474715,0.09462634,0.05012081,38,29
異なる射影,3,20263831,晴れ枝切断,雨未経験,雨雲が広がって寒く感じる,11,1.0,0.10070874,0.25285387,-0.15214513,40,33
異なる射影,3,20263831,晴れ枝切断,曖昧天気,今日は天気が変わりやすい,11,1.0,0.11293899,0.18506385,-0.07212486,35,29
異なる射影,3,20263831,晴れ枝切断,無関係,会計ソフトが請求書を処理する,11,1.0,0.04111208,0.05773181,-0.01661974,29,19
異なる射影,3,20263831,雨枝切断,晴れ未経験,よく晴れた穏やかな日だ,3,1.0,0.17591794,0.08991354,0.0860044,41,32
異なる射影,3,20263831,雨枝切断,雨未経験,雨雲が広がって寒く感じる,3,1.0,0.10070874,0.25285387,-0.15214513,40,33
異なる射影,3,20263831,雨枝切断,曖昧天気,今日は天気が変わりやすい,3,1.0,0.11293899,0.18506385,-0.07212486,35,29
異なる射影,3,20263831,雨枝切断,無関係,会計ソフトが請求書を処理する,3,1.0,0.04111208,0.05773181,-0.01661974,29,19
異なる射影,3,20263831,部分共有切断,晴れ未経験,よく晴れた穏やかな日だ,46,0.51810213,0.04418282,0.02190193,0.02228088,29,19
異なる射影,3,20263831,部分共有切断,雨未経験,雨雲が広がって寒く感じる,46,0.54045455,0.01177778,0.08832735,-0.07654958,33,23
異なる射影,3,20263831,部分共有切断,曖昧天気,今日は天気が変わりやすい,46,0.52137931,0.02261587,0.04072298,-0.01810711,28,19
異なる射影,3,20263831,部分共有切断,無関係,会計ソフトが請求書を処理する,46,0.70018149,0.00926471,0.01837618,-0.00911147,25,15
異なる射影,3,20263831,ランダム同数,晴れ未経験,よく晴れた穏やかな日だ,11,0.89314024,0.15619181,0.08076375,0.07542806,40,30
異なる射影,3,20263831,ランダム同数,雨未経験,雨雲が広がって寒く感じる,11,0.88401515,0.08878543,0.21163081,-0.12284538,40,31
