group,checkpoint,entity_type,role,trials,count_mean,count_std,share_mean,share_std
異なる射影,20,Node,学習・無関係共有,5,3.8,2.2271057451320084,0.048385228,0.028181018172125295
異なる射影,20,Node,学習・類似共有,5,10.4,7.002856560004639,0.135315018,0.09363807450894245
異なる射影,20,Node,学習文専用,5,19.4,4.029888335921977,0.24611347,0.0441440365285446
異なる射影,20,Node,無関係文専用,5,22.2,1.16619037896906,0.283678348,0.021211896949560546
異なる射影,20,Node,類似・無関係共有,5,1.6,1.624807680927192,0.019914476000000004,0.020120735349405696
異なる射影,20,Node,類似文専用,5,17.8,4.874423042781577,0.225688362,0.056141133666365306
異なる射影,50,Edge,全共有幹線,5,3.4,3.7735924528226414,0.055840299999999995,0.06344891427573746
異なる射影,50,Edge,学習・無関係共有,5,3.2,1.9390719429665317,0.05104666,0.03156541378712024
異なる射影,50,Edge,学習・類似共有,5,10.4,7.059745037889116,0.167255006,0.11552055130718544
異なる射影,50,Edge,学習文専用,5,16.6,4.079215610874227,0.266020052,0.06200693423284768
異なる射影,50,Edge,無関係文専用,5,15.0,1.4142135623730951,0.24088998999999997,0.01754340975894253
異なる射影,50,Edge,類似・無関係共有,5,1.2,0.9797958971132713,0.019490886,0.01594583272329244
異なる射影,50,Edge,類似文専用,5,12.4,3.3823069050575527,0.199457116,0.05504008695150277
異なる射影,50,Node,全共有幹線,5,4.4,4.223742416388575,0.05408977,0.05207328593594954
異なる射影,50,Node,学習・無関係共有,5,4.0,2.449489742783178,0.048635074,0.02959736976072272
異なる射影,50,Node,学習・類似共有,5,11.4,7.002856560004639,0.14116042,0.0897164071170742
異なる射影,50,Node,学習文専用,5,20.8,4.166533331199932,0.253160602,0.044798551814514455
異なる射影,50,Node,無関係文専用,5,21.6,0.8,0.26446953399999995,0.016278918694246993
異なる射影,50,Node,類似・無関係共有,5,2.0,1.4142135623730951,0.024017976000000003,0.01670348201992579
異なる射影,50,Node,類似文専用,5,17.6,4.963869458396342,0.21446662,0.05816242302251479
