group,trial,edge_a,edge_b,primary_cluster,primary_type,primary_membership,secondary_types,secondary_count,membership_entropy,usage_pattern
固定射影,1,477,587,3,雨中心型,0.6196310063082768,,0,0.6007103052357904,0000110000
固定射影,1,478,516,1,雨中心型,0.5853843957613032,,0,0.6624612453340756,0000001100
固定射影,1,492,529,0,混合補助型,0.3976378328690205,,0,0.7879769253943569,0000010000
固定射影,1,496,516,1,雨中心型,0.5817607679653921,,0,0.6833125072805146,0010001100
固定射影,1,502,525,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,534,559,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,540,541,1,雨中心型,0.4552469332852156,雨中心型,1,0.6748126190926165,0001100100
固定射影,1,543,583,0,混合補助型,0.46425075484350903,,0,0.7687369805678574,0010000000
固定射影,1,550,574,0,混合補助型,0.438085712033323,,0,0.8094361486422175,1000000000
固定射影,1,565,589,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,2,1,443,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,1,512,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,2,556,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,4,429,4,橋渡し型,0.7881338662255047,,0,0.4205138577511035,0000000010
固定射影,2,4,554,4,橋渡し型,0.7881338662255047,,0,0.4205138577511035,0000000010
固定射影,2,22,66,2,晴れ中心型,0.5570311654036524,,0,0.6794030030838702,1001010010
固定射影,2,22,536,2,晴れ中心型,0.6633937310157152,,0,0.5913779244645092,1111010010
固定射影,2,24,205,0,混合補助型,0.4048687197161241,雨中心型,1,0.7901458229615306,0001100000
固定射影,2,24,243,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,26,561,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,31,291,6,雨中心型,0.8649659973005683,,0,0.29904736993038605,0001010100
固定射影,2,33,121,5,晴れ中心型,0.37353911819202457,,0,0.8701757247943598,1000001000
固定射影,2,33,463,0,混合補助型,0.30213955657593716,,0,0.8904611856326772,1000000000
固定射影,2,36,349,4,橋渡し型,0.5041436112291864,,0,0.7269795661111053,0000001010
固定射影,2,42,529,0,混合補助型,0.4103512498173164,,0,0.8174567108277041,0000010000
固定射影,2,43,357,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,45,58,4,橋渡し型,0.7881338662255047,,0,0.4205138577511035,0000000010
固定射影,2,45,312,4,橋渡し型,0.6885529284655302,,0,0.5697384870328751,1000000010
固定射影,2,46,365,6,雨中心型,0.8218199351608738,,0,0.3671932265043304,0101110100
固定射影,2,49,375,0,混合補助型,0.31616481577080185,晴れ中心型,1,0.8336493067397218,0000000100
固定射影,2,49,378,0,混合補助型,0.31616481577080185,晴れ中心型,1,0.8336493067397218,0000000100
固定射影,2,61,313,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,61,540,6,雨中心型,0.5923502546429773,,0,0.6136906302938281,0001100100
固定射影,2,66,216,2,晴れ中心型,0.5570311654036524,,0,0.6794030030838702,1001010010
固定射影,2,69,560,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,70,203,0,混合補助型,0.4427434499559886,,0,0.8128367169644515,0010000000
固定射影,2,76,78,0,混合補助型,0.4103512498173164,,0,0.8174567108277041,0000010000
固定射影,2,76,551,0,混合補助型,0.4103512498173164,,0,0.8174567108277041,0000010000
固定射影,2,78,551,0,混合補助型,0.4103512498173164,,0,0.8174567108277041,0000010000
固定射影,2,79,575,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,80,145,0,混合補助型,0.4427434499559886,,0,0.8128367169644515,0010000000
固定射影,2,81,399,7,晴れ中心型,0.9351681977415931,,0,0.17114724753246346,1110001000
固定射影,2,81,511,7,晴れ中心型,0.9351681977415931,,0,0.17114724753246346,1110001000
固定射影,2,83,177,6,雨中心型,0.5063135031687883,,0,0.7350009381480448,0001010000
固定射影,2,83,269,6,雨中心型,0.5063135031687883,,0,0.7350009381480448,0001010000
固定射影,2,84,277,2,晴れ中心型,0.9027909427749697,,0,0.2349853912417883,1011011010
固定射影,2,84,492,2,晴れ中心型,0.9027909427749697,,0,0.2349853912417883,1011011010
固定射影,2,101,551,0,混合補助型,0.4103512498173164,,0,0.8174567108277041,0000010000
固定射影,2,119,341,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,119,556,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,121,381,1,混合補助型,0.3667511773804473,,0,0.849508777204183,1000001001
固定射影,2,126,372,4,橋渡し型,0.46105149921251154,,0,0.7765869127720578,1100000010
固定射影,2,131,305,6,雨中心型,0.8218199351608738,,0,0.3671932265043304,0101110100
固定射影,2,131,343,6,雨中心型,0.8218199351608738,,0,0.3671932265043304,0101110100
固定射影,2,136,489,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,139,174,6,雨中心型,0.5455239473370693,,0,0.6983792657035983,0001000100
固定射影,2,139,257,6,雨中心型,0.5455239473370693,,0,0.6983792657035983,0001000100
固定射影,2,140,473,6,雨中心型,0.8649659973005683,,0,0.29904736993038605,0001010100
固定射影,2,140,506,6,雨中心型,0.8649659973005683,,0,0.29904736993038605,0001010100
固定射影,2,141,374,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,141,560,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,142,196,4,橋渡し型,0.7881338662255047,,0,0.4205138577511035,0000000010
固定射影,2,142,335,5,晴れ中心型,0.5731101489304843,,0,0.6841904140112341,0000001000
固定射影,2,144,148,2,晴れ中心型,0.5570311654036524,,0,0.6794030030838702,1001010010
固定射影,2,144,355,2,晴れ中心型,0.5570311654036524,,0,0.6794030030838702,1001010010
固定射影,2,145,348,0,混合補助型,0.4427434499559886,,0,0.8128367169644515,0010000000
固定射影,2,148,536,2,晴れ中心型,0.6633937310157152,,0,0.5913779244645092,1111010010
固定射影,2,160,225,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,160,490,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,161,446,4,橋渡し型,0.7881338662255047,,0,0.4205138577511035,0000000010
固定射影,2,163,254,6,雨中心型,0.4884649297382796,,0,0.7112452725514277,0100110100
固定射影,2,164,354,7,晴れ中心型,0.9351681977415931,,0,0.17114724753246346,1110001000
固定射影,2,164,399,7,晴れ中心型,0.9351681977415931,,0,0.17114724753246346,1110001000
固定射影,2,168,312,4,橋渡し型,0.6885529284655302,,0,0.5697384870328751,1000000010
固定射影,2,168,525,4,橋渡し型,0.7881338662255047,,0,0.4205138577511035,0000000010
固定射影,2,169,393,4,橋渡し型,0.5041436112291864,,0,0.7269795661111053,0000001010
固定射影,2,169,545,7,晴れ中心型,0.7697897774354688,,0,0.42746408681736525,1110001010
固定射影,2,172,304,0,混合補助型,0.5124792619010089,,0,0.7378766342957235,0010100100
固定射影,2,172,382,0,混合補助型,0.5124792619010089,,0,0.7378766342957235,0010100100
固定射影,2,177,269,6,雨中心型,0.5063135031687883,,0,0.7350009381480448,0001010000
固定射影,2,179,512,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,179,559,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,190,287,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,193,323,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,196,197,4,橋渡し型,0.7881338662255047,,0,0.4205138577511035,0000000010
固定射影,2,201,224,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,201,235,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,201,572,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,203,213,0,混合補助型,0.4427434499559886,,0,0.8128367169644515,0010000000
固定射影,2,205,373,0,混合補助型,0.4048687197161241,雨中心型,1,0.7901458229615306,0001100000
固定射影,2,208,583,0,混合補助型,0.4427434499559886,,0,0.8128367169644515,0010000000
固定射影,2,212,224,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,212,509,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,213,552,1,混合補助型,0.6079068854878739,,0,0.6352478749744501,0010000001
固定射影,2,216,514,2,晴れ中心型,0.4458665351935291,橋渡し型,1,0.7164300491753832,1001000010
固定射影,2,218,364,0,混合補助型,0.4427434499559886,,0,0.8128367169644515,0010000000
固定射影,2,218,496,5,晴れ中心型,0.7086643789129322,,0,0.5441014473447682,0010001100
固定射影,2,219,568,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,226,230,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,230,426,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,235,362,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,237,534,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,241,483,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,241,572,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,254,343,6,雨中心型,0.8218199351608738,,0,0.3671932265043304,0101110100
固定射影,2,257,541,6,雨中心型,0.5923502546429773,,0,0.6136906302938281,0001100100
固定射影,2,271,362,2,晴れ中心型,0.5718895853226158,晴れ中心型,1,0.5356009882956692,1111001010
固定射影,2,273,500,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,277,492,2,晴れ中心型,0.9027909427749697,,0,0.2349853912417883,1011011010
固定射影,2,287,491,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,291,473,6,雨中心型,0.8649659973005683,,0,0.29904736993038605,0001010100
固定射影,2,292,506,6,雨中心型,0.8649659973005683,,0,0.29904736993038605,0001010100
固定射影,2,292,515,6,雨中心型,0.8649659973005683,,0,0.29904736993038605,0001010100
固定射影,2,295,335,5,晴れ中心型,0.5731101489304843,,0,0.6841904140112341,0000001000
固定射影,2,298,354,7,晴れ中心型,0.9351681977415931,,0,0.17114724753246346,1110001000
固定射影,2,301,382,0,混合補助型,0.5124792619010089,,0,0.7378766342957235,0010100100
固定射影,2,301,396,0,混合補助型,0.5124792619010089,,0,0.7378766342957235,0010100100
固定射影,2,302,461,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,304,382,0,混合補助型,0.5124792619010089,,0,0.7378766342957235,0010100100
固定射影,2,305,365,6,雨中心型,0.8218199351608738,,0,0.3671932265043304,0101110100
固定射影,2,308,485,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,308,490,1,混合補助型,0.534983504526585,混合補助型,1,0.6411955366462733,0000100001
固定射影,2,311,420,5,晴れ中心型,0.8266141253013569,,0,0.3691580711016676,0000001100
固定射影,2,313,469,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,316,323,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,318,511,7,晴れ中心型,0.9351681977415931,,0,0.17114724753246346,1110001000
固定射影,2,341,556,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,349,545,7,晴れ中心型,0.7697897774354688,,0,0.42746408681736525,1110001010
固定射影,2,369,409,0,混合補助型,0.2720091579238154,,0,0.9078197099260341,1000000100
固定射影,2,369,550,0,混合補助型,0.2720091579238154,,0,0.9078197099260341,1000000100
固定射影,2,372,561,4,橋渡し型,0.46105149921251154,,0,0.7765869127720578,1100000010
固定射影,2,374,560,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,381,502,1,混合補助型,0.6183202056838483,,0,0.6431261821448794,1000000001
固定射影,2,383,420,5,晴れ中心型,0.8266141253013569,,0,0.3691580711016676,0000001100
固定射影,2,393,439,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,395,400,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,395,479,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,400,479,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,405,489,0,混合補助型,0.6454832323709149,,0,0.6052257869249321,0000100000
固定射影,2,405,587,0,混合補助型,0.5591480188199432,,0,0.6771134532338398,0000110000
固定射影,2,407,444,0,混合補助型,0.4103512498173164,,0,0.8174567108277041,0000010000
固定射影,2,407,486,6,雨中心型,0.44434043171984206,混合補助型,1,0.738154309624775,0000010100
固定射影,2,409,422,0,混合補助型,0.30213955657593716,,0,0.8904611856326772,1000000000
固定射影,2,418,500,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,419,568,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
固定射影,2,426,565,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,426,589,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,439,552,1,混合補助型,0.6079068854878739,,0,0.6352478749744501,0010000001
固定射影,2,443,575,3,晴れ中心型,0.910514381538323,,0,0.21865582512696827,0100000000
固定射影,2,444,486,6,雨中心型,0.44434043171984206,混合補助型,1,0.738154309624775,0000010100
固定射影,2,461,509,2,晴れ中心型,0.87113608371657,,0,0.28458064724562826,1011001010
固定射影,2,467,477,0,混合補助型,0.5591480188199432,,0,0.6771134532338398,0000110000
固定射影,2,477,587,0,混合補助型,0.5591480188199432,,0,0.6771134532338398,0000110000
固定射影,2,478,516,5,晴れ中心型,0.8266141253013569,,0,0.3691580711016676,0000001100
固定射影,2,492,529,0,混合補助型,0.4103512498173164,,0,0.8174567108277041,0000010000
固定射影,2,496,516,5,晴れ中心型,0.7086643789129322,,0,0.5441014473447682,0010001100
固定射影,2,502,525,1,混合補助型,0.8800679643018674,,0,0.26823254897395143,0000000001
